I love this weather. Be safe!!	SouthrnBelle18
RT @RACKDupRACKDout: Dis dat duck off weather 	JayBayUmmKayy
RT @iPartyTooHard_: RT if you have weather like this... http://t.co/BRYe8aPv8n	_Brdoublee
SHORT-SLEEVE WEATHER: In a little more than an hour Las Cruces' temp has climbed eight degrees. At 12:35 p.m. it's now 64	SteveRamirez6
WIND WARNING IN EFFECT, Elliot Lake - Ranger Lake  #ONSTORM http://t.co/7UnOk9nhur	WxWatchersON
02/21 - 12:30 pm mountain - Due to weather/wind, Denver (DEN) airport is experiencing delays exceeding 90 minutes	ARCdw
RT @AveryLuce: This weather makes me happy	ToriPounds
RT @SeanMac04: Can't ask for better weather! #itllprobablysnowtomorrow	sarah_abigail95
Traded cold weather for warmth, tornados and hail. #dafaq ?!	hiimjmb
This weather is when I need a dog to go on walks with.. Occasionally run with too, but mainly walk with. 	ItsyBitsyHanny
Loyal to the beach whatever the weather. Heres why http://t.co/xvr7pmc9Sm	_OnlineStylist
Love this weather!	kailey__rose
RT @StephanMumford: I wanna do something weather lol	lextx15
Is it even worth me straightening my hair with this weather	inthe_ZUNGle
@FunkeeMedina yes nice cuddle and movie weather lol	Slprywhnwet36
RT @JerzwOrkin: #MansionElan gonna be crazy tonight..we got some OKAY weather lol	EatMyHoneyBun
This weather makes me wanna praise The Lord while I run through a meadow	jetterson03
WEATHER ALERT 20 mm of rain in the last hour	MareebaWeather
RT @_TheRealCody: Cold weather makes me hate people	234yasmin
I swear we can't catch a break with this weather yo 	KaylaEnfiniti1
I love today's weather 	Fannyluubb
RT @matthunter123: Just chillen, wondering weather to release the FF today or do a suprise twitcam... http://t.co/Ad7Sf4bqJY	giantsgirl1516
RT @FOXSportsPR: Weather permitting, SPRINT CUP SERIES PRACTICE (@FOXSports1; 2:30 PM ET) @mikejoy500 @Kenny_Wallace @LarryMac28 @bobdillne	dustin_n_va
With the weather here in #NewYorkCity I'm calling today #FrizzDay instead of #Friday as evidenced by this white girl #afro I'm rocking.	TiffKneeTime
Our #libcaps give excellent campus tours in all types of weather! #dsonphotos http://t.co/sV8cJ4QUgY	DickinsonAdmit
Today is just one of those days I'd really like to be on my bike in 70 degree weather with a nice breeze	LPSOLDIER101
RT @BAM_Chase: #INwx #INdy Its official BAM will serve as official weather provider of the Indy 500 festivities! M.... http://t.co/V9S4GQYn	cynthia1016
What are the best,worst case scenarios for PFT President @jerrytjordan in negotiating w the #Philly School District? http://t.co/cx02af9MAg	AxisPhilly
[Video] How alerts can help manage your personnel and minimize the damage caused by blustery weather! http://t.co/64zDDixjld @FortBenning	AtHoc
This Gloomy Weather Is Annoying 	Keerapyt__
this weather is the best not too hot not cold	Jc_Brush116
RT @moretaa_: New Jersey has the worst weather ever.	_Jamminnx3
RT @isthat_sheema: This weather made me horny 	SpIFFkiD_NiNo
How can storms be a warning if there happening every second??? good weather should become a warning around here #sickofwinter #halifax	Tinasaddik
so fl is blaming the weather as to why i dont have my shit and why it still hasnt left fl what is it to nice out to work smh sun too bright	vixen_vanity
This weather better not mess up my hair	_xx_justme
RT @glossedandfound: Julia of @JETSETWorldTrvl cold weather must-have? Thundercake by @SkinFare! Read her other travel tips and tricks. htt	JETSETWorldTrvl
To all of the people headed for warmer weather, I wish to slash your tires.	B_Gross22
RT @ritcab: Sadly, due to the weather, Rail Jam has been cancelled. Fortunately we are still having our Sausage and Sauerkraut fest tomorro	WITR897
I WILL be there on the opening day @THORPEPARK I'm so excited. I just hope the weather will be good.     #excitement	marki_smith
RT @Harrods: With #London's wet and windy weather, we're tempted to a weekend away. @Samsonite #HarrodsHome http://t.co/VBSx0gUA1J http://t	Happykaatjes
RT @aggiefieldguy: Amazing what a week of 70 degree weather can do for a field! http://t.co/Q8cAjJMzxY	hkasperbauer
RT @gdefinizio: favorite kind of weather 	Pat_Martina
Feeling this weather &gt;	MIDDUB_MATT
RT @BSFC_Official: Great work from the guys today to give us a chance for the game being on tomorrow. Pray for good weather #needtoplay	aaronrutter95
RUBBIN GOT TICKETS TO SEE BASEMENT IN PHILLY BLESS THAT WOMAN	postalxprincess
This is good sleeping weather 	cierrajones198
@arctic_munki well it's hot but hella rainy and my fucking weather doesn't say rain	arctic_munki
I hate this weather	hannahparkk
Jay Shoulda Been In Philly So We Can Get Naughty Naughty NAUGHTYYY	AliciaLimehous3
This cold windy weather is not cute http://t.co/4dUSfSaJkp	jbrenner21
Venice High School, Florida FL Weather 2:35 PM 75.5F Hum 89 pct 9.3 mph SSE Hi 78.4F Lo 69.0F UV 1.4 Pres Chng 24hr -1.1 mb Rain Today 0.00	VHSWeather
RT @Ralphie_Buttas: Iphone weather better not lie to me	KILLKay_
I feel that the effect this weather has had upon my hair is egregiously disproportionate to the time I was out in it	KTHeaney
It is a beautiful day.. get outside and enjoy the weather :)	HarmonysBox
Remarkable how much nice weather affects my mood	Cheech_Delay
@FxckdUpAlgerian: The weather today was banging tho http://t.co/VRpbvsEWkg  Meshallah	MostWantedLoser
@nbc40news where's the first alert weather? my house just shook....	jennalynnx
Current Weather Conditions In Florence, AL (35630) http://t.co/XmsHaryUAt	myflotown
@missloloko where u at? Sounds like Seattle weather	MsWalton83
@JustinWeather can understand that. Live in middle of farm field so it could b higher. Weather station is a Davis Vantage keep up great work	GeorgeASBierman
Weather at 14:35 ET. Temp: 76.7F Humidity: 87 pct Wind Speed: 0.2 mph from: SW	spacecoastwx
Thunderstorm here in Philly is pretty intense right now. My commute back to NYC in about 90 minutes will not be fun...	momomo58
"@dorian_rosario: @MelanieAlicia it's the weather lol" Yeah, maybe.	MelanieAlicia
VOLUSIA COUNTY Special Weather Statement issued February 21 at 2:13PM EST by NWS: ...A SIGNIFICANT WEATHER ADV... http://t.co/sNXDZAhFjn	CDR48fan
i hate all the people here more than anything more than the weather or the  scenery	vivalatomlinson
Cuddle weather #whereDhaBxtchesAt lls Kevin hart voice	spitta_alert22
@seaminke Sorry, no info on the road. Please be careful and check weather and avalanche forecasts.  Avalanche danger is high right now. -pw	MountRainierNPS
RT @angryinYVR: #Vancouver voted best city in North America - study ignores weather, petty crime, affordability, homelessness, traffic and 	itakaner
@LaurennTJ: Eating chipotle outside in the beach weather living the life must be nice 	OhDANGmarissuhh
Wish the weather could stay like this forever. 	laurenn_alvarez
Live in north buffalo? Come get some Mac for lunch tomorrow (Saturday) on hertel ave near Saranac 11:30-1:30 (maybe 2pm weather depending)	FallyMac716
At least the weather will be nice tomorrow 	omgitsdoreen
This weather is ridiculous	fallon_xoxo21
It's currently Fair and 6C in Much Hadham. #MuchHadham #Weather	HadhamWeather
I'd like just put it out there, and say that THIS WEATHER SUCKS DICK.	CameronKyle21
RT @JeremyClarkson: Holy cow. Walter White is doing the weather forecast. http://t.co/rm8VWCJ3na	jaspreet_wadhwa
@p4tsyamelia: I have not done any art work, philly is going to punch me pat I don't even have my book	kerrienuttall
2nd day of tryouts got canceled bc of the stupid weather and I am now upset.	darianbeasl99
weather data 2:35 PM 43.2F 58 pct 9.8 mph N	SkyWarn_Teter_
Cold-Weather Wear. Enter for a chance to #win $15 in points. Play #Sweeps http://t.co/8zrFTxVPh6 via @WYWFred	Tombromleyvt
RT @matt_ra1ff: Reallllly hate this weather	stephanieety
Severe Weather Track: Craven &amp; Jones County http://t.co/UNS2N4KRic #EncWx	EngelWX
RT @matt_ra1ff: Reallllly hate this weather	stephanieety
RT @RACKDupRACKDout: Dis dat duck off weather 	Darkmulan_
Hanna, our camp dog, has been taking advantage of the warmer weather these past couple days!  Follow her... http://t.co/g0Qmfq37eP	MtnWorkshop
"@vlokeugene: @RugbyFifteen @NelioDeSa good to see Willie adapting his game to the wet weather!"	BokRugbyRiaan
But in all honesty I like Eric Maynor the wizards just didn't fit but I do think he a average close to 2 points in philly playing 25 minutes	MarTrey_S
Tbh I just want Philly	taypicou
RT @WhatsHaydenen: Damn  @Pacers: On his way out to Philly, Granger visits the end of practice to say goodbye to his Pacers teammates htt	_TyAgnew
First the snow was ruining my weekends, now it's the rain. This weather sucks 	lauren_m57
Got to get our of school early because of the weather #gottalovehamilton	kateeding
This weather makes me happy 	loleuqar
@17PrinceAmos not uhI love this type weather so leave me alone	cchuckiefinster
Soooooo do I still have to go to class in this weather?	Ashley_Collen
Lol King James might come to Philly since Sixers have Over $35 million in free cash He better be a Sixer	MichaelJohnRoac
Bustin out the short shorts for this lovely weather	Nick_Hansen64
This is the weather I've been waiting for.	Carbonyawnee
This weather makes me happy	asisco_03
not stoked on driving to work in this weather especially for a pointless 4 hour shift	alysonkc
the weather would've been better if it didn't rain	charlesfairclot
@MrChuckD can you tell #Philly school kids why you love music? #PhillylovesYou #OccupyAirwavesSchoolTour #WILM http://t.co/KLmBK6Nvqe	OccupyAirwaves_
@LeeU is looking exceptionally beautiful in this weather. http://t.co/3rq4dINUMW	elliott_warner
RT @cpsj: Annual Mardi Gras celebration happening in Philly this Sunday: http://t.co/Zh50uNS2Ap	ProfessionalPen
Niggas changing like the weather, you think he yo nigga but you lookin at the fucking devil	cash_zach
RT @matthunter123: Just chillen, wondering weather to release the FF today or do a suprise twitcam... http://t.co/Ad7Sf4bqJY	nayellyt97
Why does everybody blame President Obama for everything? Like y'all blame him for having Bad Weather, when your team losses everything!	34__Superman
RT @Whohottaden_MI: This weather 	FirstStop_Paris
Last nite Brooklyn bowl got the biz. Tonite philly-myself @chuckpmusic and @Kharrari are on a mission. Be there! @UnionTransfer	rjd2
Yesterday we had gorgeous, sunny weather at 55 degrees. As an act of vengeance God decide to kill it with the Rain	auTOMaticallyme
I now understand why animals mate in the spring... Lol weather have you all confident about life	Blaq__
RT @__Quantrell: And the weather said its supposed to be worse then last time	Kwame_Da_Great
This rainy weather fits my mood perfectly	kaloternator
Georgia's weather be like .... http://t.co/jVbiCM50nP	kfortenberry33
Lol I pin Logan on the ground: "How's the weather down there?" "cold ....."	lovepink4321
She always using the weather as and excuse to not take me nowhere  .	Kiaaaa__
My mood depends on the weather and I couldn't be happier right now!  #sunshine	tayreed5
RT @matthunter123: Just chillen, wondering weather to release the FF today or do a suprise twitcam... http://t.co/Ad7Sf4bqJY	Torres27Oralia
Such terrible weather to drive to a liveshot in Anderson! http://t.co/zP1CgoSLpV	joshkuhn
This weather got me wanting to do bad things	AREALBOSSWIFEY
philly is the center of the thunderstorm.. right where I will be driving too http://t.co/t8b1sEMz80	jessicaraex0x
Today's Weather! The day's High is 22 c with a Low of 18c. Current conditions are Showers in the Vicinity.	dals_arduino
RT @AboveTopSecret: Super thunder shatters windows in Philly http://t.co/I1OzlRJMuH http://t.co/QpaQblbUP5	laureldineen
This weather has me shaking	jade_schizz
I'm proud to say that I'm a survivor of today's weather 	kennyIives
Im so glad it didn't rain today the weather has been perfect all day	Zozoe_
RT @TamsinatTCWC: @sallytangle @bloglovin loved it Sally! I am happy too even when weather is pants	sallytangle
So glad to be back on the work grind fuck this weather doe #work #tiresandoilchanges #gettingdirty http://t.co/DVvyyYeQK2	Hartbottt
Fri 21st Feb 19:35 - The #Weather in #Mansfield is currently Partly Cloudy and 6C | Max: 6C Min: 4C - #MyWeather	My_Weather
I love this weather http://t.co/LnL2ZQeJlJ	meeuq
@TheMistaJeffRay yes they do. That's all they have besides syrup cold weather and hockey.	paytenstewart1
@JoeKoffee  English weather! four season in an hour!  rainy, squally and sunny! all this afternoon! so funny! x	carolelynngill
Seriously not diggin this weather or the fact that im on my way to work right now	lysscarroll
How is anyone meant to make plans and go out in this weather, I hate this country so much	fionaamcarthur
RT @matthunter123: Just chillen, wondering weather to release the FF today or do a suprise twitcam... http://t.co/Ad7Sf4bqJY	LisbethDoleo
Anywhere But Here by Cocaine 80's is the perfect song for this weather.	JGMIntl
RT @bigbadboogie33: "@MyLVHost: I have a love hate relationship with L.A, love the weather &amp; my buddy @bigbadboogie33 hate the traffic. ht	MyLVHost
This weather is out of hand	rgenovese15
Happy Friday! I hope y'all enjoy the warm weather this weekend while it lasts   "Towers(Sango Remix)" x Bon Iver  https://t.co/FNfZx9avZy	gillianimani
RT @WaVy_DaiDai: Damn I gonna work in this weather 	Danisa_x3
RT @CortneyFlatley: I'm sooo ready for warm weather	D_dwagz
Welp since I can't be at work I'm going to totally enjoy this fabulous weather and spending time with my beloved h... http://t.co/qWTwyZIrcn	amanda_samuels
Danny Granger to Philly?! Ha	InfamousCalvin_
RT @MelanieAlicia: "@dorian_rosario: @MelanieAlicia it's the weather lol" Yeah, maybe.	dorian_rosario
RT @loveeM_: This weather makes me wanna stay in and get drunk	Ernicoleeee
RT @DannyVHH: New Music: Iamsu ft Sage The Gemini - The Weather | http://t.co/jv120tFlS8	RakimsWife
Still misreading going out in that weather 	megan_england
RT @KyleeLyon: @Channel955 The Algonac game is moved to tomorrow due to weather conditions, CAN YOU PLEASE STILL COME?!! we earned it!	SondraTercha
RT @matthunter123: Just chillen, wondering weather to release the FF today or do a suprise twitcam... http://t.co/Ad7Sf4bqJY	iLoveMahone_x
It's Dad's Weekend at Linfield. Enjoy the weather, and have a great few days with your dad. http://t.co/b6gK1YGxd9 http://t.co/zFTHGPNqc7	LinfieldCollege
the weather is being a tease http://t.co/9oM6qUrz1t	jaydaadamaria
@angelphillips25: This fucking kind of weather	4Bidden_FRUIT_
Take a damn nap weather..	MariaAvila_19
stormy weather is louuuud 	madisonmichel
RT @LisaVanderpump: I am also responsible for the bad weather usa has been having. Have a nice day everybody . Xx	tam_honks
RT @_TheLoaf_: First and only class of the day, let's get this shit over with so I can go enjoy the weather.	Temp_er
Getting dismissed early for the weather conditions 	ItsJustJavona
@WhitePplQuote: Finally shorts weather http://t.co/glqWgb9n7E @3mor7al	MeaghanLynn93
RT @MacallFinucan: This weather is gorgeous	ginger17snap
Such amazing  weather 	3aaboora
RT @matthunter123: Just chillen, wondering weather to release the FF today or do a suprise twitcam... http://t.co/Ad7Sf4bqJY	love_Austin1000
@dmfdesigns Thanks for the #ff Diane! You take care and have a fabulous weekend. Best day weather wise is Saturday I think! X	Yorkshireowl
I'm loving this weather 	caramay97
Hoodie weather	KiJohnson1800
Fri 21st Feb 19:35 - The #Weather in #Grantham is currently Partly Cloudy and 6C | Max: 9C Min: 2C - #MyWeather	My_Weather
this weather is so tiring 	Jaay_Neeish
I feel like I have committed a sin by not running in this beautiful weather.	mcwayne116
Where did the 60 degree weather go? Wtf	Aaronna23
iPhone weather has been awful lately. Partly cloudy? There isn't a cloud in the sky	ThatNickaNick
current weather in Tucson: fair, 68F 9% humidity, wind 0mph, visibility 10mi, pressure 30.04in falling	Tucson
RT @SamanthaJ_x3: This rainy weather 	Ashton_18_15
RT @Jenbunny1111: Omg.. Legit scared right now #tornadowatch #Philly #itsdarkandwindy  @RudeRicky get ur ass home	RudeRicky
the weather today YASSS	lovatosiconic
Oh hey pretty weather, I've missed you.  http://t.co/k0YNOguifj	sarahhazelip
RT @kamustajohn: Florida is like beach temperature.......  SIKE ! THAT'S THE WRONG WEATHER http://t.co/haNSYVzv87	KleanBoyKyle
After weeks of winter cold and gloomy weather, the skies finally broke out with a ray of sunshine.	miss_bella71
Today hnb93hnb invited us to spend this day at the roof of here house xD !! The weather was awesome http://t.co/2NJmr74gKF	WoYiReem
Chili Weather. Enter for a chance to #win $20 in points. Play #Sweeps http://t.co/Ih5LVrGff6 via @WYWFred	Tombromleyvt
Cold "@InggrisBisa: Today's weather is ... I need a jacket with me. || A angry B difficult C cold D confused E dilligent"	BulanRiot
This Florida weather is driving me crazy 	Pageb4
this weather makes me happy happy happy 	klovelady17
The Gear to Survive Cold-Weather Cycling http://t.co/Dz24PALiSj via @PopMech	TerranEmpire
Watching the #Sochi games, seeing the humans bundled up in 50 degree weather. Come on! #GrowAHair	PaddingtonSays
Perfect weather to jog around Winthrop Lake.	Sydvicious803
@StephanMumford: I wanna do something weather lol funny.	itsalondra7
RT @enahzxo_: Frfr, wtf does this weather even mean?	cscoxo
Do I really need to leave the house for work in this weather 	BeautifulRoseJM
RT @Tinasaddik: How can storms be a warning if there happening every second??? good weather should become a warning around here #sickofwint	halifaxns_rt
I love the foggy weather .	translucxnt
Fair weather fan --&gt; RT @SHannitysHair: I'm not watching the Olympics anymore. I'm done.	TarheelKrystle
The weather in cape may is ridiculous 	Dvan609
No one is coming to the mall in this weather .. I might as well stay home	littlehoneydipp
Only one tornado away from winning February Weather Bingo	Tina_Lightning
#NRF: Winter weather puts freeze on retail sales -  NRF:... http://t.co/zYKjOQANyx  #CensusBureau #JackKleinhenz #NationalRetailFederation	MissouriSent
it went from winter to spring weather in a day	lexivogel1
Bipolar weather outside right now	waywatSMH
Well, might as well return to Philly Sports Mode. That loss was entirely on Orpik and Bylsma	TheMotiveAAG
Finally good weather so we can roll down the windows and cruuiisssseee #lyricstolife	HolyHellDean
The weather be fucking up moves	MPFkeldo
RT @CallumVurley: You can always count on something in Britain to ruin a day/night.  The weather.	Arsenal4life_
RT @DotDollaz52ndSt: Da Streets Freestyle http://t.co/ikaxTCCYa2 #WolfPakMG #Philly"	ThatBULL_QUIL
@_MommynWife This weather is horrible .	ChelseaElaine_
RT @haaybabay: wtf the weather was perfect like an hour ago	haleyeruark
Does anyone know if it's vest weather outside	tayray__
Finally cruising. Blaring me some luke Bryan with the windows down. Perfect weather. Lovely Friday	jaamie_lotttz
@DSTV:We pay every month with no default to watch not as your donors pls fix your satelite let not weather take away our consumers rights.	ammanong
Great weather we are having today	SammLight
Some good basketball weather	brennanjluc
@isthat_sheema: This weather made me horny  	King_Monte
RT @MichaelKors: When the weather gets warmer, we all look forward to a little romance. xxMK	feeninforfinna
This weather is officially on my nerves now	QtownProbs
RT @francescajanae: stormy weather is so fucking perfect.	janeatheresao
RT @nevilleisabamf: This is the kind of weather that blew Dorothy away from Kansas.	HannahRaulston
#weather Wind 8.3 mph SW. Temperature 5.9C. Rain today 0.3 mm. Humidity 99% Pressure: 997.4mb live data http://t.co/60vnqi7G2M	pershoreweather
Missed this weather sm 	ZaxleeJewel
This weather is bipolar.	Ki11uminatiii
RT @MIDDUB_MATT: Feeling this weather &gt;	_ShowinOff25
My @VSPINK Weather Mini says Foggy day. Head in the clouds! http://t.co/F5Un3Hm3N7	Grace567Livi
This cuffing weather lmao	MNicholson_3
@tinyrevolution The weird thing about it is how ANGRY his delivery is. How DARE those people walk around in bad weather to bring me things!	MollieOReilly
4pm #Gander: Cloudy -2.8C - Feels: -10C - http://t.co/iLZUhA4f8L - Wind: NNW 26km/h Gusts to 38km/h - Bar: 101.8 kPa ^ - Hum: 78% #Weather	wxGANDER
The weather sounds crazy outside	wsdau
If this rain brings cold weather I'm going to be very angry 	emmybooboooo
RT @matthunter123: Just chillen, wondering weather to release the FF today or do a suprise twitcam... http://t.co/Ad7Sf4bqJY	franchelsynicol
Up-to-Minute #Weather Paducah, Kentucky Weather :: 52F FAIR /5-Day Forecast: http://t.co/AlGQOBWnPZ	Paducah_Buzz
Tired of this shit weather	xxxphILLEST
Up-to-Minute #Weather Houston, Texas Weather :: 63F MOSTLY CLOUDY /5-Day Forecast http://t.co/QfFRTXXWk5	Houston_Buz
RT @rjd2: Last nite Brooklyn bowl got the biz. Tonite philly-myself @chuckpmusic and @Kharrari are on a mission. Be there! @UnionTransfer	UnionTransfer
 http://t.co/LkEfOozn5E | 37F MOSTLY CLOUDY AND WINDY |  http://t.co/SOpknDCzHx	247_Detroit
This weather is a tease	RLKnightt
Come celebrate the beautiful weather with us at dainty!  We're open til 7! #ootd #StayDainty http://t.co/AJQXecczCL	Dainty_Norman
$KSS J.C. Penney Company, Inc. (JCP) 'To Benefit From Cold Weather' http://t.co/2esNpyygLq	TimeTheExits
RT @g_mcfadden: "@b_rascoe: I know @g_mcfadden is enjoying this weather. $5 says the "summer" tweets start pretty soon lol"  #summerlovi	b_rascoe
freakin tornado now wassup with this weather 	stirling_north
@Kiaaaa__: She always using the weather as and excuse to not take me nowhere  . RFT 	brittanydani3ls
When it's 60 degrees out vb girls think it's bikini weather or sumthin	AngelSpaghetti
CTBUH: Unanimous Approval for New Comcast Tower in Philly http://t.co/iVXjNudjlm	CREwatch
This is beach weather 	SmellieEli
@Dorothybrewer I'm super jealous its like 32 outside right now with A LOT of snow &amp; rainy!! I HATE this weather I LOVE the weather ur having	Jeannie0891
This that cuddling weather after that passionate....	DatprettyMFR
Lol all types weather back home tornadoes, blizzards, tf going on lol. ..	J_Willz_
60 in Philly... Warm air will get pinched off before making it in. 40's with showers and downpours.4-7pm. DB http://t.co/CHOfsfls6t	WGGBWeather
@MariaAvila_19: Take a damn nap weather..	itsalondra7
RT @_xxxxel: yall really thought we were about to have some nice weather.	ebbbnnyy
This is perfect soccer weather	JLight07
@weather_events yeah like wise mate crappy atlantic weather lol	carlharlott
RT @ChrissHexter: Monday, May 26 (Memorial Day) will now be a staff and student holiday in LISD. The day will no longer be a bad weather ma	Jenn_Louise75
Severe Weather Track: Craven &amp; Jones County http://t.co/D4uJVwLxXx  #EncWx -Matt (@EngelWx)	WITN7
Wow this weather is beautiful.	YoItzShane
RT @giofernandes93: I need hot weather already, im getting tired of wearing coats	NickySalzano5
Out in Philly in a condo, boss shit!	breeezaayyy
Even with the shitty weather it feela good as shit outside	jsmith5859
RT @CauseWereYoungg: I need warmer weather Lighter hair The beach  &amp; bikinis 	Trynabfit
The weather ate my homework! The weather is so beautiful in San Francisco today...I'm unable to do any work	JamalDajani
they have a great economy, are super liberal, have great weather, beautiful landscape, and auckland is a great city	_nicolesucks
RT @Aggie_Baseball: Another weekend of great weather for baseball at Blue Bell Park... 6:35 pm Friday; 6:35 pm Saturday; 1:05 pm Sunday. ht	chelseahdz08
Perfect weather for a toddy jive 	CiezzyFBaby
Foggy much!? #fog #trains #newyork #justcause #workcommute #wow #damn #weather #cloudy http://t.co/q05gTvHBn8	RailYardHobo
@alexis_czubai I was going to go but idk anymore bc of the weather	dionicwil
@BirdieBox I like walking if the weather is decent! Raining or too hot, I'll be riding that day!	bverar
Game against Fulton has been postponed due to weather. It will be played tomorrow at 2!	Pdubsports
Philly Union Packs School Reform Meeting to Protest New Chairman http://t.co/AjXHkXKLD6 #wiright	WIMajority
Off to the airport. Can't wait to be in 85 degree weather ! 	dyerjaxd99
RT @116abbey: great weather to be traveling in 	graceyalfor
4:20 weather seems promising for tomow. How could we let a weeek pass w/out floatin'?!	_StormHaze
Today's weather mirrors my mood http://t.co/Cmy2WOVhSV	prettypetal
We know it's still Feb, but the current #KC weather has inspired us to create (drink) some spring cocktails! #TGIF http://t.co/46UTrlZ3XZ	DHDistillery
RT @avecherie: Someone explain to me what's going on with this weather.	_ForeverAriel
I love this kind of weather. It's also nice when I have four Pretty Little Liars to keep me company. #rainydays #thunder #winter	bfree89
Absolutely in love with this weather 	britttt_bby
I'm earning #mPOINTS Rewards in The Weather Channel. http://t.co/AmbsVju33H	MELANIEMEADE
Would like to take a wee race to this tomorrow, but the weather is pretty vile atm :/ https://t.co/Dg3RK4hNcJ	suzeperunknown
RT @KaaylaRosenberg: Actually diggin the rainy weather	officialsteb_
RT @PhillyFireNews: South Philly Apartment Fire [Photos]  http://t.co/raDo0fHlx5 http://t.co/0gOCHJYVv0	jmiahcjohnson
Still dreading going out in that weather 	megan_england
This weather is so cold!!	nathanhggns12
$INTU Intuit Raises Fiscal Q3 Guidance On TurboTax Shift http://t.co/vX91icamdH	HamnetChristian
Just cuz it's warm outside doesn't mean its spring or summer.  It's not flip flop weather.	EmphasisOn_T
I'm too young for this, it's like even the weather makes me ache more	miss_zazoo
@luzunderthestar  out their in tht good weather while we here in this freezing nasty weather 	_DreamChaser108
Eeeeek. Tag watching in this weather 	SVK_100
RT @avecherie: Someone explain to me what's going on with this weather.	MerCeCe_13
Nice weather puts me in a good mood	vancehammonds
I haven't had water the entire day..this weather aint making it possible!!	Leeh_Sego
This is some crazy weather.	My_Cogitations
RT @WhitePplQuote: Finally shorts weather http://t.co/Ten4UdoaZi	Courtnaaaaaaay
Fishing weather! 	mandashae
Is It Really Just The Weather?  http://t.co/WSLz5hwbZp	NMConstitution
This weather got me fucked up	JAGasauraus
RT @_courtoo: So sick of this weather	bellaamorell
This day is horrible ugh this weather is killing me	xNicoleZavala
@shelly_yauri we can never catch a break ! Bipolar weather	Aleeshthebeast
RT @matthunter123: Just chillen, wondering weather to release the FF today or do a suprise twitcam... http://t.co/Ad7Sf4bqJY	ronnie_tweets
This weather is only good for 2 things	GottaLove_Lia
Pleasant wintertime weather continues for the weekend.  Checkout my Weekend Outlook at... http://t.co/CmdBmkLniU	KAMRNBC4
Resting for a few more minutes before cleaning my room. Walking home from school in the warm weather wore me out. Might go out to shoot :)	ArkansasAngel37
RT @TWatchMe_Twerk: This weather right now &lt;	XOXO_TrillFAME
The weather will be straight by the time our Speed Dating/Game Night begins so don't let that hinder you! 7 PM MSC Great Rooms	JpDaKid
cool lil weather in cali this friday tho'	ThaCaliConnect
RT @KaylaEnfiniti1: I swear we can't catch a break with this weather yo 	ImRollin_Reggie
This weather is gross	Lilzchilz
RT @Georgie_boy15: that ; fuck a girl             eat Chinese food weather	__nrlt
Well except for the communist government, miserable weather and stray dogs roaming our cities, we're just like russia right now. #USAHockey	Moolah_Lubi
rain, thunder, lightning, warmer weather.... Springs almost here #finally	Andy_Schneiderr
@mnmsharpening @SocialFocusbyCG @ICTBiz_BRoy @ricsandwiches @Fiskars_HQ @wichitalawns @WxBeck TGIF!!  (And awesome weather) :)	bigbsbeef
The weather was very hot, so this man wanted desperately take a dip in the nearby lake. He didn't bring his... http://t.co/P6ZHkAZ4nU	lesbiladies
The weather today.&gt;&gt;&gt;&gt;&gt;&gt; 	Krystal_Beck_
Talking Dallas into coming tonight partially bc I need my formal dress &amp; new phone. I don't really care ab the weather.	hannahcamille14
ALL I NEED IS A BALL AND A WALL, A SLEDGE AND  A HILL, IN HEAVY WEATHER	over_obsessed_
This weather is crazy as cat shit .	OnlyObey_Jay
sometimes nice weather offsets when you're feeling down #heysun #nicetoseeyou	sncutaia
RT @AngelaGordiano8: The weather is perfect 	Debrum_
Fri 21st Feb 19:36 - The #Weather in #Norwich is currently Clear and 7C | Max: 9C Min: 5C - #MyWeather	My_Weather
RT @TWCNewsAustin: Today &amp; tomorrow will be gorgeous but expect some changes for Sun. #atx #Austin #ctx #Waco http://t.co/CbI800nakD http:/	ZinaSells
What's not to love about this late morning weather I mean  http://t.co/bttZpY6js2	sienn_kenn
RT @Wait_NoHickies: New Orleans Has Bipolar Ass Weather	_trriceeee
We're over this colder weather, so we're giving you @zacbrownband #rodeoartistoftheday tickets at 2:00ish! @RODEOHOUSTON @CrownRoyal	TheNew93Q
RT @moretaa_: New Jersey has the worst weather ever.	prbxo__
RT @EmblemThree: Lets party, Philly!!! Come to @TowerTheater tonight. We wanna see you ;) #bandlife http://t.co/OdCX1HEYNv	jerseygirlacc
Thanks! MT @Hilary_Louise: This is hilarious - props to @Local12's @Bob_Herzog for having some fun with the weather - http://t.co/6tQGjVVnES	Bob_Herzog
This weather to good for me to getting upset	TeeTheCreator_
RT @Thoshographer: Ok so now let's play Canada in dirt hockey in 110 degree ( 43 Celsius)  weather for the summer Olympics 	kojbfilms
RT @creativelycat: #Overheard @TimeOutLondon "It's hair suicide weather, there are a bunch of Tina Turners walking around Covent Garden..."	sheppeardova
RT @kxeran: 'P.e teacher: the weather is fine, we can still go outside' http://t.co/SizhHr2T	_Zyaire21
This weather 	RAYERform
RT @WhitePplQuote: Finally shorts weather http://t.co/Ten4UdoaZi	Carpe_BREim
RT @Aleeshthebeast: @shelly_yauri we can never catch a break ! Bipolar weather	shelly_yauri
This weather is killing me serious vo darling	GREENTINYIKO
RT @kodakk6000: Nature is enjoying this nice Atlanta Weather today http://t.co/8AEUFJkBrI	CREATIVEMINDZ__
